R_AA,E_FCI,E_CCSD
0.500000,-1.793746561864,-1.793219893857
0.550000,-1.953927896167,-1.953352914150
0.600000,-2.065390302576,-2.064762750267
0.650000,-2.142335700314,-2.141653167932
0.700000,-2.194419811688,-2.193681687463
0.750000,-2.228337560014,-2.227544602873
0.800000,-2.248844038193,-2.247997975385
0.850000,-2.259399932485,-2.258503051958
0.900000,-2.262570339377,-2.261625237613
0.950000,-2.260279279450,-2.259288780279
1.000000,-2.253982496745,-2.252949691415
1.050000,-2.244789777404,-2.243718146936
1.100000,-2.233552997053,-2.232446616848
1.150000,-2.220930005583,-2.219793686481
1.200000,-2.207431399890,-2.206271475622
1.250000,-2.193455175961,-2.192279632646
1.300000,-2.179312713135,-2.178131923605
1.350000,-2.165248375618,-2.164075871906
1.400000,-2.151454266288,-2.150307594800
1.450000,-2.138081189451,-2.136983008632
1.500000,-2.125246630338,-2.124226460332
1.550000,-2.113040450144,-2.112133822895
1.600000,-2.101528902955,-2.100782111939
1.650000,-2.090757537134,-2.090226868885
1.700000,-2.080753453021,-2.080507502113
1.750000,-2.071527288688,-2.071647474877
1.800000,-2.063075180290,-2.063656234681
1.850000,-2.055380818812,-2.056530024194
1.900000,-2.048417583782,-2.050252243929
1.950000,-2.042150748264,-2.044794372674
2.000000,-2.036539576986,-2.040115682254
2.050000,-2.031539304738,-2.036164321147
2.100000,-2.027102879538,-2.032877521893
2.150000,-2.023182462255,-2.030185032152
2.200000,-2.019730654128,-2.028011740343
2.250000,-2.016701480073,-2.026280956130
2.300000,-2.014051118652,-2.024918052165
2.350000,-2.011738420205,-2.023853228877
2.400000,-2.009725234521,-2.023023447588
2.450000,-2.007976575452,-2.022373620538
2.500000,-2.006460660924,-2.021856852996