R,E_HF,E_CCSD,E_CCSD(T),E_CCSDT
0.700000,-107.761028179276,-108.074646677259,-108.083200932597,-108.083376715294
0.800000,-108.498849442675,-108.823886872182,-108.834135774643,-108.834291850083
0.900000,-108.839875021845,-109.178528443465,-109.190941069740,-109.191038131783
1.000000,-108.968015011920,-109.322416281553,-109.337565969451,-109.337531448031
1.100000,-108.983006532241,-109.355331265988,-109.373899774561,-109.373612496776
1.200000,-108.939642732827,-109.332016179189,-109.354770492529,-109.354051177745
1.300000,-108.868445151455,-109.282758032018,-109.310514674477,-109.309137578932
1.400000,-108.786413864306,-109.224180115629,-109.257781655872,-109.255527615080
1.500000,-108.702748439489,-109.165093756219,-109.205430770235,-109.202222685236
1.600000,-108.622141684022,-109.109943524001,-109.158062700377,-109.154242076965
1.700000,-108.546775983304,-109.060931416446,-109.118268979639,-109.115131439205
1.800000,-108.477501472636,-109.019303195324,-109.088094346036,-109.088753611957
1.900000,-108.414480632408,-108.986125056204,-109.070088418607,-109.080019415479
2.000000,-108.357518741414,-108.962780785164,-109.068231424753,-109.091467637658
2.100000,-108.306236949557,-108.951128826808,-109.088419898370,-109.114646053483
2.200000,-108.260172392230,-108.952260199355,-109.135602158293,-109.137339438712
2.300000,-108.218838034358,-108.963217949065,-109.204708774073,-109.155246388074
2.400000,-108.181756044050,-108.977613421123,-109.280201418307,-108.928316471497