R_AA,E_CCSD,E_uCCSD,E_uCJ,E_2uCJ,E_3uCJ,E_L-1uCJ,E_L-2uCJ,E_L-1uCJ_opt,E_L-2uCJ_opt
0.600000,-74.556308913637,-74.556103258914,-74.556100279779,-74.553672784346,-74.554576805245,-74.554308406433,-74.554308406433,-74.555001518905,-74.555011327112
0.700000,-76.040887121774,-76.040830035108,-76.040829332807,-76.039232845415,-76.039868654828,-76.039701813605,-76.039701808597,-76.040154318589,-76.040158172931
0.800000,-76.927196404987,-76.927196411056,-76.927196411147,-76.926826892491,-76.927021106909,-76.926874635301,-76.926874635301,-76.926916836556,-76.926916836689
0.900000,-77.447689102573,-77.447689106731,-77.447689106751,-77.447340934719,-77.447519353570,-77.447387931633,-77.447387931633,-77.447429058929,-77.447429058995
1.000000,-77.744342923494,-77.744342925575,-77.744342925580,-77.744016046700,-77.744180458504,-77.744061224986,-77.744061224986,-77.744100583707,-77.744100584259
1.100000,-77.914572117148,-77.914571690682,-77.914571690509,-77.914154666415,-77.914338654679,-77.914290786481,-77.914290786481,-77.914401592416,-77.914401592393
1.200000,-77.994451640211,-77.994450588963,-77.994450591589,-77.994062579915,-77.994232432216,-77.994188241593,-77.994188241593,-77.994290965278,-77.994290965331
1.300000,-78.023798202911,-78.023795389235,-78.023795400342,-78.023432472073,-78.023592462094,-78.023550839469,-78.023550839469,-78.023649021359,-78.023649021787
1.400000,-78.023192397163,-78.023185045585,-78.023185077373,-78.022845299494,-78.022998334849,-78.022958524944,-78.022958524944,-78.023056459440,-78.023056459959
1.500000,-78.005580119627,-78.005562136045,-78.005562211691,-78.005244698284,-78.005392836768,-78.005354240701,-78.005354304791,-78.005459129868,-78.005459130775
1.600000,-77.979010568407,-77.978967539497,-77.978967678937,-77.978728155567,-77.978871742226,-77.978834307826,-77.978834488452,-77.978958542490,-77.978958594099
1.700000,-77.948544210340,-77.948453382588,-77.948453614743,-77.948268845592,-77.948386867954,-77.948355995145,-77.948356248768,-77.948512123527,-77.948512163859
1.800000,-77.925124077384,-77.925119982343,-77.924659905391,-77.921491713601,-77.922500593950,-77.919612808415,-77.920069528908,-77.921073780094,-77.925236836753
1.900000,-77.900376862075,-77.900601600821,-77.899521120735,-77.892213346453,-77.894145421784,-77.890798348321,-77.891712642291,-77.894088938535,-77.900831674967
2.000000,-77.877692527744,-77.878314861752,-77.876194346080,-77.862492751541,-77.865571332498,-77.863601409178,-77.865083458153,-77.869621477322,-77.878710125711
2.100000,-77.857153788878,-77.858204585264,-77.854428517206,-77.831890074604,-77.836238897394,-77.838070226637,-77.840181772488,-77.851686534349,-77.859072935724
2.200000,-77.839254341829,-77.840492707877,-77.833751835909,-77.799764827020,-77.808693362740,-77.814150606950,-77.816936684838,-77.833061955919,-77.841543779248
2.300000,-77.824547360713,-77.825219717600,-77.813794932172,-77.765111952592,-77.776781368819,-77.791656457249,-77.795153473037,-77.816957261093,-77.826649677836
2.400000,-77.813397751349,-77.811918992871,-77.792996175799,-77.726952072467,-77.740931275343,-77.770311606955,-77.774558788716,-77.803349904979,-77.814121641156
2.500000,-77.805778012954,-77.799610708720,-77.769629341314,-77.685297712376,-77.700193346631,-77.749948322434,-77.754991395009,-77.792040830710,-77.804488945386
2.600000,-77.801195140349,-77.787272754753,-77.742840529819,-77.642002557523,-77.655369258555,-77.730675911702,-77.736578532777,-77.782744279653,-77.796887791561
2.700000,-77.798861689149,-77.774442829241,-77.713426114676,-77.600264908387,-77.609189714288,-77.712806139656,-77.719676251114,-77.775158669990,-77.790992883623
2.800000,-77.797992106447,-77.761325552940,-77.683248023276,-77.562890330606,-77.564948472623,-77.696610043759,-77.704624914360,-77.769001964988,-77.786638987458
2.900000,-77.688449764837,-77.687734901198,-77.687097017228,-77.676758330130,-77.682612101303,-77.661333332355,-77.661727798852,-77.688024886478,-77.762263264269