R,E_FCI,E_HF,E_CCSD,E_LuCJ,E_LuCJ1(opt),E_LuCJ2(opt)
0.300000,-0.638777519499,-0.611850047780,-0.638777525770,-0.613693210948,-0.620856957851,-0.620856957819
0.350000,-0.821818820208,-0.793957659812,-0.821818818587,-0.795946395432,-0.809936270518,-0.821321258358
0.400000,-0.943133613484,-0.914348691471,-0.943133601876,-0.916497607225,-0.935771056593,-0.942601962033
0.450000,-1.024603054281,-0.994914589919,-1.024603034152,-0.997237495203,-1.017495629920,-1.024035500194
0.500000,-1.079370050877,-1.048800556213,-1.079370025895,-1.051310870824,-1.072596414037,-1.078766715077
0.550000,-1.115740135112,-1.084308823929,-1.115740110364,-1.087019757784,-1.109097281601,-1.115102569405
0.600000,-1.139173293286,-1.106892475145,-1.139173277592,-1.109817015825,-1.132501764577,-1.138503514016
0.650000,-1.153371342127,-1.120244312725,-1.153371318084,-1.123395054547,-1.146651664479,-1.152681005375
0.700000,-1.160904682477,-1.126924692301,-1.160904647550,-1.130313548720,-1.154275344130,-1.160233366867
0.750000,-1.163593560652,-1.128743134753,-1.163593566978,-1.132381169196,-1.157175430551,-1.162926658180
0.800000,-1.162750763022,-1.127000720884,-1.162750770381,-1.130898196256,-1.156871152404,-1.162084592997
0.850000,-1.159340218869,-1.122648324428,-1.159340226681,-1.126814964778,-1.153944258002,-1.158675398678
0.900000,-1.154081706119,-1.116391300444,-1.154081713572,-1.120836568894,-1.148985235852,-1.153419487966
0.950000,-1.147520380880,-1.108759354569,-1.147520388281,-1.113492661389,-1.142718155053,-1.146862511399
1.000000,-1.140073480873,-1.100153764878,-1.140073491376,-1.105184566165,-1.135566137507,-1.139422174693
1.050000,-1.132062374691,-1.090879978688,-1.132062375533,-1.096217776255,-1.127848363409,-1.131420271471
1.100000,-1.123735236595,-1.081170784378,-1.123735236897,-1.086825057511,-1.119810803487,-1.123105210040
1.150000,-1.115283655465,-1.071203331016,-1.115283655301,-1.077183411918,-1.111643059622,-1.114668760693
1.200000,-1.106855192512,-1.061111997857,-1.106855191533,-1.067426933870,-1.103490967685,-1.106258533946
1.250000,-1.098563091780,-1.050998323224,-1.098563104062,-1.057656713101,-1.095466317921,-1.097987713184
1.300000,-1.090493865947,-1.040938738517,-1.090493856693,-1.047948575751,-1.087654429488,-1.089942480658
1.350000,-1.082713208528,-1.030990595958,-1.082713204390,-1.038359084375,-1.080120187720,-1.082188643835
1.400000,-1.075270537617,-1.021196837407,-1.075270532228,-1.028930197558,-1.072911385172,-1.074775072170
1.450000,-1.068202402294,-1.011589568301,-1.068202394916,-1.019692858825,-1.066066665593,-1.067737913476
1.500000,-1.061534949629,-1.002192745487,-1.061534970527,-1.010669669215,-1.059609286634,-1.061102528888
1.550000,-1.055285646117,-0.993024149643,-1.055285644749,-1.001876903093,-1.053557295507,-1.054886696046
1.600000,-1.049464446897,-0.984096789156,-1.049464401296,-0.993325925887,-1.047920535544,-1.049099100614
1.650000,-1.044074611640,-0.975419869546,-1.044074609948,-0.985024265565,-1.042702110930,-1.043739638857
1.700000,-1.039113347142,-0.966999453948,-1.039113344478,-0.976976367456,-1.037899342013,-1.038813807470
1.750000,-1.034572418972,-0.958838927650,-1.034572414661,-0.969184157747,-1.033504014744,-1.034305342846
1.800000,-1.030438819068,-0.950939358465,-1.030438820647,-0.961647519789,-1.029503392185,-1.030202206470
1.850000,-1.026695518000,-0.943299816025,-1.026695519785,-0.954364701188,-1.025880716930,-1.026487624316
1.900000,-1.023322284360,-0.935917682819,-1.023322286292,-0.947332685568,-1.022616123403,-1.023141146141
1.950000,-1.020296527548,-0.928788964836,-1.020297775119,-0.940547404146,-1.019687631158,-1.020139974409
2.000000,-1.017594114044,-0.921908594115,-1.017594115253,-0.934004653847,-1.017071622330,-1.017459874356
2.050000,-1.015190115078,-0.915270709592,-1.015190116339,-0.927699086866,-1.014743859516,-1.015075940702
2.100000,-1.013059457698,-0.908868903940,-1.013059459083,-0.921625644852,-1.012680087650,-1.012963113724
2.150000,-1.011177465691,-0.902696428939,-1.011177467203,-0.915779059390,-1.010856320390,-1.011096739247
2.200000,-1.009520288336,-0.896746357574,-1.009520290042,-0.910154051738,-1.009249526347,-1.009451692742
2.250000,-1.008065222707,-0.891011705635,-1.008065224635,-0.904745365433,-1.007837840726,-1.008009726852
2.300000,-1.006790939785,-0.885485518479,-1.006790941946,-0.899547768237,-1.006600601543,-1.006745467283
2.350000,-1.005677626878,-0.880160929916,-1.005677629360,-0.894556034460,-1.005518863399,-1.005640582225
2.400000,-1.004707059642,-0.875031200170,-1.004707062688,-0.889764917767,-1.004574996206,-1.004677071790
2.450000,-1.003862616952,-0.870089739158,-1.003862621082,-0.885169120740,-1.003753037165,-1.003838486126
2.500000,-1.003129251225,-0.865330120146,-1.003129251876,-0.880763272324,-1.003038532696,-1.003109951529
2.550000,-1.002493425773,-0.860746087601,-1.002493427271,-0.876541916596,-1.002418455669,-1.002478064151
2.600000,-1.001943029413,-0.856331561865,-1.001943031222,-0.872499493982,-1.001881161796,-1.001930888005
2.650000,-1.001467276997,-0.852080642229,-1.001467278959,-0.868630355601,-1.001416274745,-1.001457464571
2.700000,-1.001056602851,-0.847987609236,-1.001056604886,-0.864928772963,-1.001000202674,-1.001049128927
2.750000,-1.000702552520,-0.844046926419,-1.000702554559,-0.861388958370,-1.000667946098,-1.000696721474
2.800000,-1.000397676668,-0.840253241384,-1.000397678679,-0.858005090358,-1.000369184875,-1.000393172837
2.850000,-1.000135429749,-0.836601385931,-1.000135431719,-0.854771341939,-1.000111949122,-1.000131948040
2.900000,-0.999910074990,-0.833086374935,-0.999910076888,-0.851681909634,-0.999890704436,-0.999907392413
2.950000,-0.999716596478,-0.829703403726,-0.999716598291,-0.848731041596,-0.999700592629,-0.999714531062
3.000000,-0.999550618596,-0.826447843886,-0.999550620321,-0.845913063443,-0.999537369628,-0.999549023970