R,E_FCI,E_HF,E_CCSD,E_uCJ,E_LuCJ,E_LuCJ1(var-opt)
0.300000,-0.601803710766,-0.593827758536,-0.601803717705,-0.599811769182,-0.597318083190,-0.601803710765
0.350000,-0.789269392404,-0.780454902072,-0.789269403566,-0.787068473521,-0.784312359087,-0.789269392393
0.400000,-0.914149704627,-0.904361394164,-0.914149722761,-0.911706243896,-0.908645275557,-0.914149704536
0.450000,-0.998415596016,-0.987513137707,-0.998415625504,-0.995694855843,-0.992284979766,-0.998415595956
0.500000,-1.055159794471,-1.042996274540,-1.055159822701,-1.052125497853,-1.048320536354,-1.055159794388
0.550000,-1.092629906745,-1.079050736177,-1.092629951740,-1.089244023911,-1.084995308555,-1.092629906731
0.600000,-1.116286006870,-1.101128242268,-1.116286077707,-1.112508608958,-1.107764747944,-1.116286006853
0.650000,-1.129904784323,-1.112996545669,-1.129904894278,-1.125693957629,-1.120400621044,-1.129904784307
0.700000,-1.136189454066,-1.117349034990,-1.136189572438,-1.131501119700,-1.125600728792,-1.136189454057
0.750000,-1.137117067346,-1.116151448939,-1.137117245163,-1.131904756521,-1.125335954541,-1.137117067338
0.800000,-1.134147666677,-1.110850397477,-1.134147869254,-1.128362014582,-1.121058962355,-1.134147666675
0.850000,-1.128361878458,-1.102510553925,-1.128362173514,-1.121950227321,-1.113841711056,-1.128361878456
0.900000,-1.120560281300,-1.091914041020,-1.120560281302,-1.113465952482,-1.104474568176,-1.120560281299
0.950000,-1.111339417736,-1.079636928210,-1.111339417742,-1.103502001154,-1.093543252121,-1.111339417735
1.000000,-1.101150330233,-1.066108649318,-1.101150330244,-1.092505183465,-1.081487089464,-1.101150330232
1.050000,-1.090342176513,-1.051656755647,-1.090342176537,-1.080820899877,-1.068643772102,-1.090342176249
1.100000,-1.079192944969,-1.036538875029,-1.079192945018,-1.068724071828,-1.055280684111,-1.079192944963
1.150000,-1.067929658913,-1.020964143580,-1.067929659011,-1.056439699644,-1.041615817575,-1.067929658912
1.200000,-1.056740746305,-1.005106706568,-1.056740746497,-1.044155550178,-1.027830795422,-1.056740746304
1.250000,-1.045783144550,-0.989113814091,-1.045783144569,-1.032029525100,-1.014078542984,-1.045783144344
1.300000,-1.035186266434,-0.973110615778,-1.035186266468,-1.020193822844,-1.000487719201,-1.035186266210
1.350000,-1.025054362469,-0.957203175075,-1.025054362525,-1.008757415144,-0.987165429281,-1.025054362230
1.400000,-1.015468249288,-0.941480654708,-1.015468249382,-0.997807798315,-0.974199176768,-1.015468249056
1.450000,-1.006486931829,-0.926017175738,-1.006486931978,-0.987412534682,-0.961658565062,-1.006486931627
1.500000,-0.998149353471,-0.910873554594,-0.998149353700,-0.977620812135,-0.949596965882,-0.998149353470
1.550000,-0.990476340937,-0.896098958325,-0.990476341275,-0.968465089002,-0.938053208692,-0.990476340935
1.600000,-0.983472729033,-0.881732449946,-0.983472729514,-0.959962820381,-0.927053273880,-0.983472729032
1.650000,-0.977129616166,-0.867804384001,-0.977129616823,-0.952118239891,-0.916611953745,-0.977129615751
1.700000,-0.971426688458,-0.854337626951,-0.971426689322,-0.944924168762,-0.906734449735,-0.971426688067
1.750000,-0.966334544780,-0.841348598454,-0.966334545869,-0.938363825813,-0.897417884672,-0.966334544411
1.800000,-0.961816952793,-0.828848147927,-0.961816954104,-0.932412611105,-0.888652717039,-0.961816952484
1.850000,-0.957832967869,-0.816842292251,-0.957832969372,-0.927039832780,-0.880424048980,-0.957832967611
1.900000,-0.954338853999,-0.805332844893,-0.954338855629,-0.922210343285,-0.872712821622,-0.954338853752
1.950000,-0.951289758802,-0.794317965515,-0.951289760459,-0.917886050446,-0.865496892180,-0.951289758584
2.000000,-0.948641112176,-0.783792654277,-0.948641113739,-0.914027271946,-0.858751988432,-0.948641111976
2.050000,-0.946349737326,-0.773749208406,-0.946349738675,-0.910593908750,-0.852452538055,-0.946349737324
2.100000,-0.944374681120,-0.764177651617,-0.944374682168,-0.907546422711,-0.846572372938,-0.944374681118
2.150000,-0.942677785696,-0.755066140849,-0.942677786412,-0.904846614422,-0.841085311609,-0.942677785033
2.200000,-0.941224033693,-0.746401349991,-0.941224034108,-0.902458207726,-0.835965625946,-0.941224033082
2.250000,-0.939981705201,-0.738168827245,-0.939981705393,-0.900347255925,-0.831188400869,-0.939981704666
2.300000,-0.938922385987,-0.730353321355,-0.938922386560,-0.898482391256,-0.826729797960,-0.938922385588
2.350000,-0.938020864738,-0.722939071968,-0.938020864836,-0.896834940631,-0.822567233561,-0.938020864483
2.400000,-0.937254953010,-0.715910060454,-0.937254953011,-0.895378939084,-0.818679488050,-0.937254952790
2.450000,-0.936605256416,-0.709250219239,-0.936605256422,-0.894091057594,-0.815046752253,-0.936605256227
2.500000,-0.936054919956,-0.702943599724,-0.936054919961,-0.892950476147,-0.811650629059,-0.936054919793
2.550000,-0.935589365026,-0.696974500740,-0.935589038373,-0.891938542414,-0.808473960760,-0.935589364887
2.600000,-0.935196030847,-0.691327561197,-0.935195971650,-0.891039429302,-0.805501429919,-0.935196030728
2.650000,-0.934864128930,-0.685987821694,-0.934864128938,-0.890238343517,-0.802718230867,-0.934864128828
2.700000,-0.934584415937,-0.680940760623,-0.934584416057,-0.889522765626,-0.800111105116,-0.934584415850
2.750000,-0.934348987747,-0.676172310463,-0.934348987852,-0.888881702429,-0.797667810068,-0.934348987673
2.800000,-0.934151095671,-0.671668859752,-0.934151096035,-0.888305526880,-0.795377038273,-0.934151095608
2.850000,-0.933984984440,-0.667417245695,-0.933984985378,-0.887785846481,-0.793228351758,-0.933984984315
2.900000,-0.933845750779,-0.663404741599,-0.933845752724,-0.887315355722,-0.791212097747,-0.933845750674
2.950000,-0.933729220839,-0.659619042462,-0.933729224246,-0.886887703301,-0.789319331304,-0.933729220750
3.000000,-0.933631844558,-0.656048251146,-0.933631849743,-0.886497373907,-0.787541745923,-0.933631844060