R,E_FCI,E_HF,E_CCSD,E_CCSD(T),E_uCJ,E_LuCJ,E_LuCJ1(opt),E_LuCJ3(opt),E_LuCJ7(opt)
0.800000,-107.828085511808,-107.741115740710,-107.826907719110,-107.827707215101,-107.826499299494,-107.759470311421,-107.804144122913,-107.821980351535,-107.826973531963
0.900000,-108.343277766145,-108.236212498988,-108.341520737189,-108.342588564261,-108.340798099670,-108.259759814927,-108.316370127651,-108.336998104497,-108.342906154905
1.000000,-108.595987350986,-108.464957764796,-108.593330908501,-108.594722209699,-108.592086810527,-108.494864068994,-108.562264828798,-108.587214142703,-108.595054143033
1.100000,-108.701561742329,-108.542471308893,-108.697526150463,-108.699286645298,-108.695406017453,-108.580011379113,-108.664843897820,-108.693328437826,-108.700792904265
1.200000,-108.726854901758,-108.535614528761,-108.720807862867,-108.722959372808,-108.717139259107,-108.582216439767,-108.690344631990,-108.718071620920,-108.724710295265
1.300000,-108.710790655976,-108.483430129217,-108.702075206256,-108.704599206095,-108.695486722591,-108.540789589080,-108.670843707872,-108.703112986100,-108.709129473918
1.400000,-108.675952355688,-108.408596895667,-108.664255536697,-108.667079205535,-108.651712677840,-108.478926346061,-108.632129352582,-108.668553126517,-108.674326077917
1.500000,-108.635450320952,-108.324154785276,-108.621606060906,-108.624600095720,-108.595890054763,-108.410622943014,-108.587105504468,-108.627938123241,-108.633756110841
1.600000,-108.596971879904,-108.237523481576,-108.584456051343,-108.587465887399,-108.527727531003,-108.344767645884,-108.544137342253,-108.589098285995,-108.595184165158
1.700000,-108.564860562747,-108.152872753473,-108.561908430805,-108.564883989111,-108.433642427426,-108.286977090086,-108.507570202673,-108.556661533616,-108.563068642292
1.800000,-108.540863345903,-108.072492712453,-108.562085872022,-108.565414730251,-108.295173995732,-108.240128880246,-108.477670935753,-108.531270419671,-108.539543643177
1.900000,-108.524560166777,-107.997579896344,-108.585744381920,-108.590437488111,-108.131578432354,-108.200408188870,-108.453887201434,-108.519500277284,-108.523743924873
2.000000,-108.514261922578,-107.928689936689,-108.617783486599,-108.624475472390,-108.000657591582,-108.163737499070,-108.435248362854,-108.512179239945,-108.513719162114
2.100000,-108.508047665635,-107.865998408260,-108.644981308801,-108.653297660305,-107.911743028806,-108.127659049212,-108.420209140141,-108.506243672768,-108.507713228452
2.200000,-108.504364774549,-107.809449566428,-108.145871526041,-108.152183526646,-108.196393319939,-107.885464036600,-108.408332879801,-108.502421779143,-108.504157916883
2.300000,-108.502166697492,-107.758840052279,-107.925546467693,-107.931785084355,-107.963564599983,-107.709327624922,-108.399164860580,-108.500702221439,-108.502032473918
2.400000,-108.500821142757,-107.713866522815,-107.901010397467,-107.953688292369,-107.107162532729,-107.549361576800,-108.392244831730,-108.499537380941,-108.500728480931