# R,E
8.000000000000000444e-01,-1.077597145907798506e+02
8.500000000000000888e-01,-1.080526972348167902e+02
9.000000000000000222e-01,-1.082598897154890096e+02
9.500000000000000666e-01,-1.084017589576290135e+02
1.000000000000000000e+00,-1.084948130531123098e+02
1.050000000000000044e+00,-1.085510991643212009e+02
1.100000000000000089e+00,-1.085799339128232930e+02
1.150000000000000133e+00,-1.085884470925258682e+02
1.200000000000000178e+00,-1.085821017973318021e+02
1.250000000000000000e+00,-1.085650872593266740e+02
1.300000000000000044e+00,-1.085406203718116700e+02
1.350000000000000089e+00,-1.085111805024611016e+02
1.400000000000000133e+00,-1.084786924202020373e+02
1.450000000000000178e+00,-1.084446696470418630e+02
1.500000000000000000e+00,-1.084103224378446413e+02
1.550000000000000044e+00,-1.083766328283501821e+02
1.600000000000000089e+00,-1.083443948062089959e+02
1.650000000000000133e+00,-1.083142202075835883e+02
1.700000000000000178e+00,-1.082865246007392699e+02
1.750000000000000000e+00,-1.082614953685042423e+02
1.800000000000000044e+00,-1.082390267178502512e+02
1.850000000000000089e+00,-1.082186203271615312e+02
1.900000000000000133e+00,-1.081994551927989789e+02
1.950000000000000178e+00,-1.081807819864192766e+02
2.000000000000000000e+00,-1.081622473684205943e+02
2.049999999999999822e+00,-1.081438484599627685e+02
2.100000000000000089e+00,-1.081257346565150783e+02