iter,nfev,E
   0, 1854,-108.646056587625
   1, 2472,-108.648273780211
   2, 3090,-108.651093148350
   3, 3708,-108.652165495966
   4, 4326,-108.653876600225
   5, 4944,-108.654794053112
   6, 5562,-108.655107034129
   7, 6180,-108.655281494029
   8, 6798,-108.655766920341
   9, 7416,-108.656133385612
  10, 8034,-108.656472674247
  11, 8652,-108.656939253138
  12, 9270,-108.657087773020
  13, 9888,-108.657454352807
  14,10506,-108.657929420789
  15,11124,-108.658595096581
  16,11742,-108.659654822427
  17,12360,-108.661954846983
  18,12978,-108.663382675207
  19,13596,-108.665085483876
  20,14214,-108.665292984084
  21,14832,-108.666534313529
  22,15450,-108.666829887837
  23,30000,-108.667839532341